pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
dc03011;210;dc03011-210;DC03011-210;dcshoes;dc03011_dcshoes,p_210_frt2.jpg;dc03011_dcshoes,p_210_frt3.jpg;dc03011_dcshoes,p_210_frt4.jpg;dc03011_dcshoes,p_210_frt5.jpg;dc03011_dcshoes,p_210_bck1.jpg;dc03011_dcshoes,p_210_bck2.jpg;dc03011_dcshoes,p_210_dtl1.jpg;dc03011_dcshoes,p_210_dtl2.jpg;;;;;;;;;;;;;;;;
dc03068;003;dc03068-003;DC03068-003;dcshoes;dc03068_dcshoes,p_003_frt2.jpg;dc03068_dcshoes,p_003_frt1.jpg;dc03068_dcshoes,p_003_frt3.jpg;dc03068_dcshoes,p_003_frt4.jpg;dc03068_dcshoes,p_003_frt5.jpg;dc03068_dcshoes,p_003_bck1.jpg;dc03068_dcshoes,p_003_bck2.jpg;;;;;;;;;;;;;;;;;
dc03068;004;dc03068-004;DC03068-004;dcshoes;dc03068_dcshoes,p_004_frt2.jpg;dc03068_dcshoes,p_004_frt1.jpg;dc03068_dcshoes,p_004_frt3.jpg;dc03068_dcshoes,p_004_frt4.jpg;dc03068_dcshoes,p_004_frt5.jpg;dc03068_dcshoes,p_004_bck1.jpg;dc03068_dcshoes,p_004_bck2.jpg;;;;;;;;;;;;;;;;;
dc03068;102;dc03068-102;DC03068-102;dcshoes;dc03068_dcshoes,p_102_frt2.jpg;dc03068_dcshoes,p_102_frt1.jpg;dc03068_dcshoes,p_102_frt3.jpg;dc03068_dcshoes,p_102_frt4.jpg;dc03068_dcshoes,p_102_frt5.jpg;dc03068_dcshoes,p_102_bck1.jpg;dc03068_dcshoes,p_102_bck2.jpg;;;;;;;;;;;;;;;;;
dc03260;025;dc03260-025;DC03260-025;dcshoes;dc03260_dcshoes,p_025_frt2.jpg;dc03260_dcshoes,p_025_frt1.jpg;dc03260_dcshoes,p_025_frt3.jpg;dc03260_dcshoes,p_025_frt4.jpg;dc03260_dcshoes,p_025_frt5.jpg;dc03260_dcshoes,p_025_bck1.jpg;dc03260_dcshoes,p_025_bck2.jpg;dc03260_dcshoes,p_025_dtl1.jpg;dc03260_dcshoes,p_025_dtl2.jpg;;;;;;;;;;;;;;;
dc03260;101;dc03260-101;DC03260-101;dcshoes;dc03260_dcshoes,p_101_frt2.jpg;dc03260_dcshoes,p_101_frt1.jpg;dc03260_dcshoes,p_101_frt3.jpg;dc03260_dcshoes,p_101_frt4.jpg;dc03260_dcshoes,p_101_frt5.jpg;dc03260_dcshoes,p_101_bck1.jpg;dc03260_dcshoes,p_101_bck2.jpg;dc03260_dcshoes,p_101_dtl1.jpg;dc03260_dcshoes,p_101_dtl2.jpg;;;;;;;;;;;;;;;
dc03276;001;dc03276-001;DC03276-001;dcshoes;dc03276_dcshoes,p_001_frt2.jpg;dc03276_dcshoes,p_001_frt3.jpg;dc03276_dcshoes,p_001_frt4.jpg;dc03276_dcshoes,p_001_frt5.jpg;dc03276_dcshoes,p_001_bck1.jpg;dc03276_dcshoes,p_001_bck2.jpg;dc03276_dcshoes,p_001_dtl1.jpg;dc03276_dcshoes,p_001_dtl2.jpg;;;;;;;;;;;;;;;;
dc03278;025;dc03278-025;DC03278-025;dcshoes;dc03278_dcshoes,p_025_frt2.jpg;dc03278_dcshoes,p_025_frt1.jpg;dc03278_dcshoes,p_025_frt3.jpg;dc03278_dcshoes,p_025_frt4.jpg;dc03278_dcshoes,p_025_frt5.jpg;dc03278_dcshoes,p_025_bck1.jpg;dc03278_dcshoes,p_025_bck2.jpg;dc03278_dcshoes,p_025_dtl1.jpg;dc03278_dcshoes,p_025_dtl2.jpg;;;;;;;;;;;;;;;
dc03287;301;dc03287-301;DC03287-301;dcshoes;dc03287_dcshoes,p_301_frt2.jpg;dc03287_dcshoes,p_301_frt1.jpg;dc03287_dcshoes,p_301_frt3.jpg;dc03287_dcshoes,p_301_frt4.jpg;dc03287_dcshoes,p_301_frt5.jpg;dc03287_dcshoes,p_301_bck1.jpg;dc03287_dcshoes,p_301_bck2.jpg;dc03287_dcshoes,p_301_dtl1.jpg;dc03287_dcshoes,p_301_dtl2.jpg;;;;;;;;;;;;;;;
dc03293;301;dc03293-301;DC03293-301;dcshoes;dc03293_dcshoes,p_301_frt2.jpg;dc03293_dcshoes,p_301_frt1.jpg;dc03293_dcshoes,p_301_frt3.jpg;dc03293_dcshoes,p_301_frt4.jpg;dc03293_dcshoes,p_301_frt5.jpg;dc03293_dcshoes,p_301_bck1.jpg;dc03293_dcshoes,p_301_bck2.jpg;dc03293_dcshoes,p_301_dtl2.jpg;;;;;;;;;;;;;;;;
edbdp03059;brq0;edbdp03059-brq0;EDBDP03059-BRQ0;dcshoes;edbdp03059_dcshoes,f_brq0_frt1.jpg;edbdp03059_dcshoes,f_brq0_bck1.jpg;edbdp03059_dcshoes,w_brq0_frt1.jpg;edbdp03059_dcshoes,w_brq0_frt3.jpg;edbdp03059_dcshoes,w_brq0_frt4.jpg;edbdp03059_dcshoes,w_brq0_frt5.jpg;edbdp03059_dcshoes,w_brq0_frt9.jpg;edbdp03059_dcshoes,w_brq0_bck1.jpg;;;;;;;;;;;;;;;;
edbfb03028;kvj0;edbfb03028-kvj0;EDBFB03028-KVJ0;dcshoes;edbfb03028_dcshoes,f_kvj0_frt1.jpg;edbfb03028_dcshoes,f_kvj0_bck1.jpg;edbfb03028_dcshoes,w_kvj0_frt1.jpg;edbfb03028_dcshoes,w_kvj0_frt2.jpg;edbfb03028_dcshoes,w_kvj0_frt3.jpg;edbfb03028_dcshoes,w_kvj0_frt4.jpg;edbfb03028_dcshoes,w_kvj0_frt5.jpg;edbfb03028_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;
edbft03196;gtp0;edbft03196-gtp0;EDBFT03196-GTP0;dcshoes;edbft03196_dcshoes,f_gtp0_frt1.jpg;edbft03196_dcshoes,f_gtp0_bck1.jpg;edbft03196_dcshoes,w_gtp0_frt1.jpg;edbft03196_dcshoes,w_gtp0_frt3.jpg;edbft03196_dcshoes,w_gtp0_frt4.jpg;edbft03196_dcshoes,w_gtp0_frt5.jpg;edbft03196_dcshoes,w_gtp0_frt9.jpg;edbft03196_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;
edbft03197;kvj0;edbft03197-kvj0;EDBFT03197-KVJ0;dcshoes;edbft03197_dcshoes,f_kvj0_frt1.jpg;edbft03197_dcshoes,f_kvj0_bck1.jpg;edbft03197_dcshoes,w_kvj0_frt1.jpg;edbft03197_dcshoes,w_kvj0_frt2.jpg;edbft03197_dcshoes,w_kvj0_frt3.jpg;edbft03197_dcshoes,w_kvj0_frt4.jpg;edbft03197_dcshoes,w_kvj0_frt5.jpg;edbft03197_dcshoes,w_kvj0_frt6.jpg;edbft03197_dcshoes,w_kvj0_frt9.jpg;edbft03197_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;
edbft03198;kvj0;edbft03198-kvj0;EDBFT03198-KVJ0;dcshoes;edbft03198_dcshoes,f_kvj0_frt1.jpg;edbft03198_dcshoes,f_kvj0_bck1.jpg;edbft03198_dcshoes,w_kvj0_frt1.jpg;edbft03198_dcshoes,w_kvj0_frt3.jpg;edbft03198_dcshoes,w_kvj0_frt4.jpg;edbft03198_dcshoes,w_kvj0_frt9.jpg;edbft03198_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;
edbha03039;brq0;edbha03039-brq0;EDBHA03039-BRQ0;dcshoes;edbha03039_dcshoes,p_brq0_frt1.jpg;edbha03039_dcshoes,p_brq0_frt2.jpg;edbha03039_dcshoes,p_brq0_frt3.jpg;edbha03039_dcshoes,p_brq0_bck1.jpg;;;;;;;;;;;;;;;;;;;;
edbha03039;gqq0;edbha03039-gqq0;EDBHA03039-GQQ0;dcshoes;edbha03039_dcshoes,p_gqq0_frt1.jpg;edbha03039_dcshoes,p_gqq0_frt2.jpg;edbha03039_dcshoes,p_gqq0_frt3.jpg;edbha03039_dcshoes,p_gqq0_bck1.jpg;;;;;;;;;;;;;;;;;;;;
edbha03041;bsw0;edbha03041-bsw0;EDBHA03041-BSW0;dcshoes;edbha03041_dcshoes,p_bsw0_frt1.jpg;edbha03041_dcshoes,p_bsw0_frt2.jpg;edbha03041_dcshoes,p_bsw0_frt3.jpg;edbha03041_dcshoes,p_bsw0_bck1.jpg;;;;;;;;;;;;;;;;;;;;
edbjk03062;kvj0;edbjk03062-kvj0;EDBJK03062-KVJ0;dcshoes;edbjk03062_dcshoes,f_kvj0_frt1.jpg;edbjk03062_dcshoes,f_kvj0_bck1.jpg;edbjk03062_dcshoes,w_kvj0_frt1.jpg;edbjk03062_dcshoes,w_kvj0_frt3.jpg;edbjk03062_dcshoes,w_kvj0_frt4.jpg;edbjk03062_dcshoes,w_kvj0_frt5.jpg;edbjk03062_dcshoes,w_kvj0_frt9.jpg;edbjk03062_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;
edbjk03063;kvj0;edbjk03063-kvj0;EDBJK03063-KVJ0;dcshoes;edbjk03063_dcshoes,f_kvj0_frt1.jpg;edbjk03063_dcshoes,f_kvj0_bck1.jpg;edbjk03063_dcshoes,w_kvj0_frt1.jpg;edbjk03063_dcshoes,w_kvj0_frt9.jpg;edbjk03063_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;;
edbkt03141;brq0;edbkt03141-brq0;EDBKT03141-BRQ0;dcshoes;edbkt03141_dcshoes,w_brq0_frt3.jpg;edbkt03141_dcshoes,w_brq0_frt9.jpg;edbkt03141_dcshoes,w_brq0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;
edbsf03119;kvj0;edbsf03119-kvj0;EDBSF03119-KVJ0;dcshoes;edbsf03119_dcshoes,f_kvj0_frt1.jpg;edbsf03119_dcshoes,f_kvj0_bck1.jpg;edbsf03119_dcshoes,w_kvj0_frt1.jpg;edbsf03119_dcshoes,w_kvj0_frt3.jpg;edbsf03119_dcshoes,w_kvj0_frt9.jpg;edbsf03119_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03120;bsw0;edbsf03120-bsw0;EDBSF03120-BSW0;dcshoes;edbsf03120_dcshoes,f_bsw0_frt1.jpg;edbsf03120_dcshoes,f_bsw0_bck1.jpg;edbsf03120_dcshoes,w_bsw0_frt1.jpg;edbsf03120_dcshoes,w_bsw0_frt9.jpg;edbsf03120_dcshoes,w_bsw0_bck1.jpg;;;;;;;;;;;;;;;;;;;
edbsf03120;kvj0;edbsf03120-kvj0;EDBSF03120-KVJ0;dcshoes;edbsf03120_dcshoes,f_kvj0_frt1.jpg;edbsf03120_dcshoes,f_kvj0_bck1.jpg;edbsf03120_dcshoes,w_kvj0_frt1.jpg;edbsf03120_dcshoes,w_kvj0_frt3.jpg;edbsf03120_dcshoes,w_kvj0_frt9.jpg;edbsf03120_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03121;bsw0;edbsf03121-bsw0;EDBSF03121-BSW0;dcshoes;edbsf03121_dcshoes,f_bsw0_frt1.jpg;edbsf03121_dcshoes,f_bsw0_frt11.jpg;edbsf03121_dcshoes,f_bsw0_bck1.jpg;edbsf03121_dcshoes,w_bsw0_frt1.jpg;edbsf03121_dcshoes,w_bsw0_frt3.jpg;edbsf03121_dcshoes,w_bsw0_frt4.jpg;edbsf03121_dcshoes,w_bsw0_frt5.jpg;edbsf03121_dcshoes,w_bsw0_frt9.jpg;edbsf03121_dcshoes,w_bsw0_bck1.jpg;;;;;;;;;;;;;;;
edbsf03121;kvj0;edbsf03121-kvj0;EDBSF03121-KVJ0;dcshoes;edbsf03121_dcshoes,w_kvj0_frt1.jpg;edbsf03121_dcshoes,w_kvj0_frt3.jpg;edbsf03121_dcshoes,w_kvj0_frt4.jpg;edbsf03121_dcshoes,w_kvj0_frt5.jpg;edbsf03121_dcshoes,w_kvj0_frt9.jpg;edbsf03121_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03122;gtp0;edbsf03122-gtp0;EDBSF03122-GTP0;dcshoes;edbsf03122_dcshoes,f_gtp0_frt1.jpg;edbsf03122_dcshoes,f_gtp0_bck1.jpg;edbsf03122_dcshoes,w_gtp0_frt1.jpg;edbsf03122_dcshoes,w_gtp0_frt3.jpg;edbsf03122_dcshoes,w_gtp0_frt9.jpg;edbsf03122_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03122;kvj0;edbsf03122-kvj0;EDBSF03122-KVJ0;dcshoes;edbsf03122_dcshoes,f_kvj0_frt1.jpg;edbsf03122_dcshoes,f_kvj0_bck1.jpg;edbsf03122_dcshoes,w_kvj0_frt1.jpg;edbsf03122_dcshoes,w_kvj0_frt9.jpg;edbsf03122_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;;
edbsf03125;bsw0;edbsf03125-bsw0;EDBSF03125-BSW0;dcshoes;edbsf03125_dcshoes,f_bsw0_frt1.jpg;edbsf03125_dcshoes,f_bsw0_bck1.jpg;edbsf03125_dcshoes,w_bsw0_frt1.jpg;edbsf03125_dcshoes,w_bsw0_frt3.jpg;edbsf03125_dcshoes,w_bsw0_frt9.jpg;edbsf03125_dcshoes,w_bsw0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03126;kvj0;edbsf03126-kvj0;EDBSF03126-KVJ0;dcshoes;edbsf03126_dcshoes,f_kvj0_frt1.jpg;edbsf03126_dcshoes,f_kvj0_bck1.jpg;edbsf03126_dcshoes,w_kvj0_frt1.jpg;edbsf03126_dcshoes,w_kvj0_frt3.jpg;edbsf03126_dcshoes,w_kvj0_frt9.jpg;;;;;;;;;;;;;;;;;;;
edbsf03127;sfrh;edbsf03127-sfrh;EDBSF03127-SFRH;dcshoes;edbsf03127_dcshoes,f_sfrh_frt1.jpg;edbsf03127_dcshoes,f_sfrh_bck1.jpg;edbsf03127_dcshoes,w_sfrh_frt1.jpg;edbsf03127_dcshoes,w_sfrh_frt3.jpg;edbsf03127_dcshoes,w_sfrh_frt9.jpg;edbsf03127_dcshoes,w_sfrh_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03128;gtp0;edbsf03128-gtp0;EDBSF03128-GTP0;dcshoes;edbsf03128_dcshoes,f_gtp0_frt1.jpg;edbsf03128_dcshoes,f_gtp0_bck1.jpg;edbsf03128_dcshoes,w_gtp0_frt1.jpg;edbsf03128_dcshoes,w_gtp0_frt3.jpg;edbsf03128_dcshoes,w_gtp0_frt9.jpg;edbsf03128_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03130;sfrh;edbsf03130-sfrh;EDBSF03130-SFRH;dcshoes;edbsf03130_dcshoes,f_sfrh_frt1.jpg;edbsf03130_dcshoes,f_sfrh_bck1.jpg;edbsf03130_dcshoes,w_sfrh_frt11.jpg;edbsf03130_dcshoes,w_sfrh_frt13.jpg;;;;;;;;;;;;;;;;;;;;
edbsf03131;bgj0;edbsf03131-bgj0;EDBSF03131-BGJ0;dcshoes;edbsf03131_dcshoes,f_bgj0_frt1.jpg;edbsf03131_dcshoes,f_bgj0_bck1.jpg;edbsf03131_dcshoes,w_bgj0_frt1.jpg;edbsf03131_dcshoes,w_bgj0_frt3.jpg;edbsf03131_dcshoes,w_bgj0_frt4.jpg;edbsf03131_dcshoes,w_bgj0_frt9.jpg;edbsf03131_dcshoes,w_bgj0_bck1.jpg;;;;;;;;;;;;;;;;;
edbsf03132;krdh;edbsf03132-krdh;EDBSF03132-KRDH;dcshoes;edbsf03132_dcshoes,f_krdh_frt1.jpg;edbsf03132_dcshoes,f_krdh_bck1.jpg;edbsf03132_dcshoes,w_krdh_frt1.jpg;edbsf03132_dcshoes,w_krdh_frt3.jpg;edbsf03132_dcshoes,w_krdh_frt9.jpg;;;;;;;;;;;;;;;;;;;
edbsf03132;yfw0;edbsf03132-yfw0;EDBSF03132-YFW0;dcshoes;edbsf03132_dcshoes,f_yfw0_frt1.jpg;edbsf03132_dcshoes,f_yfw0_bck1.jpg;edbsf03132_dcshoes,w_yfw0_frt1.jpg;edbsf03132_dcshoes,w_yfw0_frt3.jpg;edbsf03132_dcshoes,w_yfw0_frt9.jpg;edbsf03132_dcshoes,w_yfw0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbsf03133;kvj0;edbsf03133-kvj0;EDBSF03133-KVJ0;dcshoes;edbsf03133_dcshoes,f_kvj0_frt1.jpg;edbsf03133_dcshoes,f_kvj0_bck1.jpg;edbsf03133_dcshoes,w_kvj0_frt1.jpg;edbsf03133_dcshoes,w_kvj0_frt9.jpg;edbsf03133_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;;
edbwt03061;brq0;edbwt03061-brq0;EDBWT03061-BRQ0;dcshoes;edbwt03061_dcshoes,f_brq0_frt1.jpg;edbwt03061_dcshoes,f_brq0_bck1.jpg;edbwt03061_dcshoes,w_brq0_frt1.jpg;edbwt03061_dcshoes,w_brq0_frt3.jpg;edbwt03061_dcshoes,w_brq0_frt4.jpg;edbwt03061_dcshoes,w_brq0_frt9.jpg;edbwt03061_dcshoes,w_brq0_bck1.jpg;;;;;;;;;;;;;;;;;
edbwt03061;kvj0;edbwt03061-kvj0;EDBWT03061-KVJ0;dcshoes;edbwt03061_dcshoes,f_kvj0_frt1.jpg;edbwt03061_dcshoes,f_kvj0_bck1.jpg;edbwt03061_dcshoes,w_kvj0_frt1.jpg;edbwt03061_dcshoes,w_kvj0_frt3.jpg;edbwt03061_dcshoes,w_kvj0_frt9.jpg;edbwt03061_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbwt03062;gtp0;edbwt03062-gtp0;EDBWT03062-GTP0;dcshoes;edbwt03062_dcshoes,f_gtp0_frt1.jpg;edbwt03062_dcshoes,f_gtp0_bck1.jpg;edbwt03062_dcshoes,w_gtp0_frt1.jpg;edbwt03062_dcshoes,w_gtp0_frt3.jpg;edbwt03062_dcshoes,w_gtp0_frt4.jpg;edbwt03062_dcshoes,w_gtp0_frt9.jpg;edbwt03062_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;;
edbzt03424;kvj0;edbzt03424-kvj0;EDBZT03424-KVJ0;dcshoes;edbzt03424_dcshoes,f_kvj0_frt1.jpg;edbzt03424_dcshoes,f_kvj0_bck1.jpg;edbzt03424_dcshoes,w_kvj0_frt1.jpg;edbzt03424_dcshoes,w_kvj0_frt3.jpg;edbzt03424_dcshoes,w_kvj0_frt9.jpg;edbzt03424_dcshoes,w_kvj0_bck1.jpg;edbzt03424_dcshoes,w_kvj0_bck2.jpg;;;;;;;;;;;;;;;;;
edbzt03425;kvj0;edbzt03425-kvj0;EDBZT03425-KVJ0;dcshoes;edbzt03425_dcshoes,f_kvj0_frt1.jpg;edbzt03425_dcshoes,f_kvj0_bck1.jpg;edbzt03425_dcshoes,w_kvj0_frt1.jpg;edbzt03425_dcshoes,w_kvj0_frt3.jpg;edbzt03425_dcshoes,w_kvj0_frt9.jpg;edbzt03425_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03426;wbb0;edbzt03426-wbb0;EDBZT03426-WBB0;dcshoes;edbzt03426_dcshoes,f_wbb0_frt1.jpg;edbzt03426_dcshoes,f_wbb0_bck1.jpg;edbzt03426_dcshoes,w_wbb0_frt1.jpg;edbzt03426_dcshoes,w_wbb0_frt3.jpg;edbzt03426_dcshoes,w_wbb0_frt9.jpg;edbzt03426_dcshoes,w_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03427;gqq0;edbzt03427-gqq0;EDBZT03427-GQQ0;dcshoes;edbzt03427_dcshoes,f_gqq0_frt1.jpg;edbzt03427_dcshoes,f_gqq0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
edbzt03427;kvj0;edbzt03427-kvj0;EDBZT03427-KVJ0;dcshoes;edbzt03427_dcshoes,f_kvj0_frt1.jpg;edbzt03427_dcshoes,f_kvj0_bck1.jpg;edbzt03427_dcshoes,w_kvj0_frt3.jpg;edbzt03427_dcshoes,w_kvj0_frt9.jpg;edbzt03427_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;;
edbzt03428;gtp0;edbzt03428-gtp0;EDBZT03428-GTP0;dcshoes;edbzt03428_dcshoes,f_gtp0_frt1.jpg;edbzt03428_dcshoes,f_gtp0_bck1.jpg;edbzt03428_dcshoes,w_gtp0_frt1.jpg;edbzt03428_dcshoes,w_gtp0_frt3.jpg;edbzt03428_dcshoes,w_gtp0_frt9.jpg;edbzt03428_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03428;kvj0;edbzt03428-kvj0;EDBZT03428-KVJ0;dcshoes;edbzt03428_dcshoes,f_kvj0_frt1.jpg;edbzt03428_dcshoes,f_kvj0_bck1.jpg;edbzt03428_dcshoes,w_kvj0_frt1.jpg;edbzt03428_dcshoes,w_kvj0_frt3.jpg;edbzt03428_dcshoes,w_kvj0_frt9.jpg;edbzt03428_dcshoes,w_kvj0_bck1.jpg;edbzt03428_dcshoes,w_kvj0_bck2.jpg;;;;;;;;;;;;;;;;;
edbzt03429;bsw0;edbzt03429-bsw0;EDBZT03429-BSW0;dcshoes;edbzt03429_dcshoes,f_bsw0_frt1.jpg;edbzt03429_dcshoes,f_bsw0_bck1.jpg;edbzt03429_dcshoes,w_bsw0_frt1.jpg;edbzt03429_dcshoes,w_bsw0_frt3.jpg;edbzt03429_dcshoes,w_bsw0_frt9.jpg;edbzt03429_dcshoes,w_bsw0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03429;sfrh;edbzt03429-sfrh;EDBZT03429-SFRH;dcshoes;edbzt03429_dcshoes,f_sfrh_frt1.jpg;edbzt03429_dcshoes,f_sfrh_bck1.jpg;edbzt03429_dcshoes,w_sfrh_frt1.jpg;edbzt03429_dcshoes,w_sfrh_frt3.jpg;edbzt03429_dcshoes,w_sfrh_frt9.jpg;edbzt03429_dcshoes,w_sfrh_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03430;wbb0;edbzt03430-wbb0;EDBZT03430-WBB0;dcshoes;edbzt03430_dcshoes,f_wbb0_frt1.jpg;edbzt03430_dcshoes,f_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
edbzt03431;bgj0;edbzt03431-bgj0;EDBZT03431-BGJ0;dcshoes;edbzt03431_dcshoes,f_bgj0_frt1.jpg;edbzt03431_dcshoes,f_bgj0_bck1.jpg;edbzt03431_dcshoes,w_bgj0_frt1.jpg;edbzt03431_dcshoes,w_bgj0_frt9.jpg;edbzt03431_dcshoes,w_bgj0_bck1.jpg;;;;;;;;;;;;;;;;;;;
edbzt03431;wbb0;edbzt03431-wbb0;EDBZT03431-WBB0;dcshoes;edbzt03431_dcshoes,f_wbb0_frt1.jpg;edbzt03431_dcshoes,f_wbb0_bck1.jpg;edbzt03431_dcshoes,w_wbb0_frt1.jpg;edbzt03431_dcshoes,w_wbb0_frt3.jpg;edbzt03431_dcshoes,w_wbb0_frt9.jpg;edbzt03431_dcshoes,w_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03432;gtp0;edbzt03432-gtp0;EDBZT03432-GTP0;dcshoes;edbzt03432_dcshoes,f_gtp0_frt1.jpg;edbzt03432_dcshoes,f_gtp0_bck1.jpg;edbzt03432_dcshoes,w_gtp0_frt1.jpg;edbzt03432_dcshoes,w_gtp0_frt3.jpg;edbzt03432_dcshoes,w_gtp0_frt9.jpg;edbzt03432_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03432;kvj0;edbzt03432-kvj0;EDBZT03432-KVJ0;dcshoes;edbzt03432_dcshoes,f_kvj0_frt1.jpg;edbzt03432_dcshoes,f_kvj0_bck1.jpg;edbzt03432_dcshoes,w_kvj0_frt1.jpg;edbzt03432_dcshoes,w_kvj0_frt3.jpg;edbzt03432_dcshoes,w_kvj0_frt9.jpg;edbzt03432_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03433;gtp0;edbzt03433-gtp0;EDBZT03433-GTP0;dcshoes;edbzt03433_dcshoes,f_gtp0_frt1.jpg;edbzt03433_dcshoes,f_gtp0_bck1.jpg;edbzt03433_dcshoes,w_gtp0_frt1.jpg;edbzt03433_dcshoes,w_gtp0_frt3.jpg;edbzt03433_dcshoes,w_gtp0_frt9.jpg;edbzt03433_dcshoes,w_gtp0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03433;wbb0;edbzt03433-wbb0;EDBZT03433-WBB0;dcshoes;edbzt03433_dcshoes,f_wbb0_frt1.jpg;edbzt03433_dcshoes,f_wbb0_bck1.jpg;edbzt03433_dcshoes,w_wbb0_frt1.jpg;edbzt03433_dcshoes,w_wbb0_frt3.jpg;edbzt03433_dcshoes,w_wbb0_frt9.jpg;edbzt03433_dcshoes,w_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03434;gqq0;edbzt03434-gqq0;EDBZT03434-GQQ0;dcshoes;edbzt03434_dcshoes,f_gqq0_frt1.jpg;edbzt03434_dcshoes,f_gqq0_bck1.jpg;edbzt03434_dcshoes,w_gqq0_frt1.jpg;edbzt03434_dcshoes,w_gqq0_frt2.jpg;edbzt03434_dcshoes,w_gqq0_frt9.jpg;edbzt03434_dcshoes,w_gqq0_bck1.jpg;edbzt03434_dcshoes,w_gqq0_bck2.jpg;;;;;;;;;;;;;;;;;
edbzt03435;bsw0;edbzt03435-bsw0;EDBZT03435-BSW0;dcshoes;edbzt03435_dcshoes,f_bsw0_frt1.jpg;edbzt03435_dcshoes,f_bsw0_bck1.jpg;edbzt03435_dcshoes,w_bsw0_frt1.jpg;edbzt03435_dcshoes,w_bsw0_frt3.jpg;edbzt03435_dcshoes,w_bsw0_frt9.jpg;edbzt03435_dcshoes,w_bsw0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03435;wbb0;edbzt03435-wbb0;EDBZT03435-WBB0;dcshoes;edbzt03435_dcshoes,f_wbb0_frt1.jpg;edbzt03435_dcshoes,f_wbb0_bck1.jpg;edbzt03435_dcshoes,w_wbb0_frt1.jpg;edbzt03435_dcshoes,w_wbb0_frt3.jpg;edbzt03435_dcshoes,w_wbb0_frt9.jpg;edbzt03435_dcshoes,w_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03436;kvj0;edbzt03436-kvj0;EDBZT03436-KVJ0;dcshoes;edbzt03436_dcshoes,f_kvj0_frt1.jpg;edbzt03436_dcshoes,f_kvj0_bck1.jpg;edbzt03436_dcshoes,w_kvj0_frt1.jpg;edbzt03436_dcshoes,w_kvj0_frt3.jpg;edbzt03436_dcshoes,w_kvj0_frt9.jpg;edbzt03436_dcshoes,w_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edbzt03436;wbb0;edbzt03436-wbb0;EDBZT03436-WBB0;dcshoes;edbzt03436_dcshoes,f_wbb0_frt1.jpg;edbzt03436_dcshoes,f_wbb0_bck1.jpg;edbzt03436_dcshoes,w_wbb0_frt1.jpg;edbzt03436_dcshoes,w_wbb0_frt3.jpg;edbzt03436_dcshoes,w_wbb0_frt9.jpg;edbzt03436_dcshoes,w_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;
