pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
elbha00108;blz0;elbha00108-blz0;ELBHA00108-BLZ0;element;elbha00108_element,p_blz0_frt1.jpg;elbha00108_element,p_blz0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbha00108;krn0;elbha00108-krn0;ELBHA00108-KRN0;element;elbha00108_element,p_krn0_frt1.jpg;elbha00108_element,p_krn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00132;btg0;elbjk00132-btg0;ELBJK00132-BTG0;element;elbjk00132_element,f_btg0_frt1.jpg;elbjk00132_element,f_btg0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00135;ecn;elbjk00135-ecn;ELBJK00135-ECN;element;elbjk00135_element,f_ecn_frt1.jpg;elbjk00135_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00135;fbk;elbjk00135-fbk;ELBJK00135-FBK;element;elbjk00135_element,f_fbk_frt1.jpg;elbjk00135_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00135;krn0;elbjk00135-krn0;ELBJK00135-KRN0;element;elbjk00135_element,f_krn0_frt1.jpg;elbjk00135_element,f_krn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00137;btg6;elbjk00137-btg6;ELBJK00137-BTG6;element;elbjk00137_element,f_btg6_frt1.jpg;elbjk00137_element,f_btg6_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00137;ctf3;elbjk00137-ctf3;ELBJK00137-CTF3;element;elbjk00137_element,f_ctf3_frt1.jpg;elbjk00137_element,f_ctf3_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00138;ksqe;elbjk00138-ksqe;ELBJK00138-KSQE;element;elbjk00138_element,f_ksqe_frt1.jpg;elbjk00138_element,f_ksqe_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00138;teg0;elbjk00138-teg0;ELBJK00138-TEG0;element;elbjk00138_element,f_teg0_frt1.jpg;elbjk00138_element,f_teg0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00139;csn0;elbjk00139-csn0;ELBJK00139-CSN0;element;elbjk00139_element,f_csn0_frt1.jpg;elbjk00139_element,f_csn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00139;ecn;elbjk00139-ecn;ELBJK00139-ECN;element;elbjk00139_element,f_ecn_frt1.jpg;elbjk00139_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00140;fbk;elbjk00140-fbk;ELBJK00140-FBK;element;elbjk00140_element,f_fbk_frt1.jpg;elbjk00140_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00140;krn0;elbjk00140-krn0;ELBJK00140-KRN0;element;elbjk00140_element,f_krn0_frt1.jpg;elbjk00140_element,f_krn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00141;csn0;elbjk00141-csn0;ELBJK00141-CSN0;element;elbjk00141_element,f_csn0_frt1.jpg;elbjk00141_element,f_csn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbjk00143;krn0;elbjk00143-krn0;ELBJK00143-KRN0;element;elbjk00143_element,f_krn0_frt1.jpg;elbjk00143_element,f_krn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbkt00117;ecn;elbkt00117-ecn;ELBKT00117-ECN;element;elbkt00117_element,f_ecn_frt1.jpg;elbkt00117_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbkt00117;gsl0;elbkt00117-gsl0;ELBKT00117-GSL0;element;elbkt00117_element,f_gsl0_frt1.jpg;elbkt00117_element,f_gsl0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbkt00117;otw;elbkt00117-otw;ELBKT00117-OTW;element;elbkt00117_element,f_otw_frt1.jpg;elbkt00117_element,f_otw_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00123;clm0;elbnp00123-clm0;ELBNP00123-CLM0;element;elbnp00123_element,f_clm0_frt1.jpg;elbnp00123_element,f_clm0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00123;fbk;elbnp00123-fbk;ELBNP00123-FBK;element;elbnp00123_element,f_fbk_frt1.jpg;elbnp00123_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00124;ctf0;elbnp00124-ctf0;ELBNP00124-CTF0;element;elbnp00124_element,f_ctf0_frt1.jpg;elbnp00124_element,f_ctf0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00124;fbk;elbnp00124-fbk;ELBNP00124-FBK;element;elbnp00124_element,w_fbk_frt1.jpg;elbnp00124_element,w_fbk_bck1.jpg;elbnp00124_element,f_fbk_frt1.jpg;elbnp00124_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;
elbnp00124;tkh0;elbnp00124-tkh0;ELBNP00124-TKH0;element;elbnp00124_element,w_tkh0_frt1.jpg;elbnp00124_element,w_tkh0_bck1.jpg;elbnp00124_element,f_tkh0_frt1.jpg;elbnp00124_element,f_tkh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;
elbnp00126;clm0;elbnp00126-clm0;ELBNP00126-CLM0;element;elbnp00126_element,f_clm0_frt1.jpg;elbnp00126_element,f_clm0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00126;ecn;elbnp00126-ecn;ELBNP00126-ECN;element;elbnp00126_element,f_ecn_frt1.jpg;elbnp00126_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00127;gzh0;elbnp00127-gzh0;ELBNP00127-GZH0;element;elbnp00127_element,f_gzh0_frt1.jpg;elbnp00127_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00127;kta0;elbnp00127-kta0;ELBNP00127-KTA0;element;elbnp00127_element,f_kta0_frt1.jpg;elbnp00127_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00129;fbk;elbnp00129-fbk;ELBNP00129-FBK;element;elbnp00129_element,f_fbk_frt1.jpg;elbnp00129_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
